longitude,latitude,location,photo_id,county,year,description,url,preview
-76.249401,42.704152,approximate,AJ-1-13,Cortland,1936,Centered near Grout Mill in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/aa3e1a63-b3aa-4f57-878d-51a8e17cba32.jpg,http://stor.artstor.org/stor/aa3e1a63-b3aa-4f57-878d-51a8e17cba32_size2
-76.143312,42.601531,approximate,AJ-1-100,Cortland,1936,Centered near Pokeville in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/fd1f3378-d4e2-4bfb-9ef1-1be9bfc08f44.jpg,http://stor.artstor.org/stor/fd1f3378-d4e2-4bfb-9ef1-1be9bfc08f44_size2
-76.145858,42.580142,approximate,AJ-1-102,Cortland,1936,Centered near Pokeville in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/f8385126-b75a-49b2-8a30-3dd209a88040.jpg,http://stor.artstor.org/stor/f8385126-b75a-49b2-8a30-3dd209a88040_size2
-76.247072,42.577894,approximate,AJ-1-1,Cortland,1936,Centered near Gracie in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/44b6f5a5-6d45-4af5-ba68-2836475ae016.jpg,http://stor.artstor.org/stor/44b6f5a5-6d45-4af5-ba68-2836475ae016_size2
-76.246908,42.684785,approximate,AJ-1-11,Cortland,1936,Centered near Como in Homer (13077) in Cortland County New York.,http://stor.artstor.org/stor/ca48f7dc-0540-4ed2-b8fd-506ec3824645.jpg,http://stor.artstor.org/stor/ca48f7dc-0540-4ed2-b8fd-506ec3824645_size2
-76.373623,42.349909,approximate,AJ-17-20,Tompkins,1936,Centered near White Church in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/cf06b3cd-a495-4ac1-b06e-05267958da51.jpg,http://stor.artstor.org/stor/cf06b3cd-a495-4ac1-b06e-05267958da51_size2
-76.438016,42.354122,approximate,AJ-17-2,Tompkins,1936,Centered near Caroline Depot in Ithaca (14850) in Tompkins County New York.,http://stor.artstor.org/stor/8aadb532-b002-46fa-8972-f19d9a439569.jpg,http://stor.artstor.org/stor/8aadb532-b002-46fa-8972-f19d9a439569_size2
-76.374234,42.332,approximate,AJ-17-22,Tompkins,1936,Centered near White Church in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/1ee6915f-8474-4f77-99bd-c753cf9ee64a.jpg,http://stor.artstor.org/stor/1ee6915f-8474-4f77-99bd-c753cf9ee64a_size2
-76.374815,42.367367,approximate,AJ-17-18,Tompkins,1936,Centered near Caroline in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/5ee33f05-b684-4d11-a3a3-f6d1bdfea377.jpg,http://stor.artstor.org/stor/5ee33f05-b684-4d11-a3a3-f6d1bdfea377_size2
-76.248573,42.643604,approximate,AJ-1-7,Cortland,1936,Centered near Halls Corner in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/c1460ab5-2058-43f8-9b24-fa8e717c21be.jpg,http://stor.artstor.org/stor/c1460ab5-2058-43f8-9b24-fa8e717c21be_size2
-76.183715,42.732703,approximate,AJ-1-66,Cortland,1936,Centered near East Scott in Preble (13141) in Cortland County New York.,http://stor.artstor.org/stor/f4f1a9e7-1b48-4ec5-a4b5-25930dc4dbe4.jpg,http://stor.artstor.org/stor/f4f1a9e7-1b48-4ec5-a4b5-25930dc4dbe4_size2
-76.186005,42.774534,approximate,AJ-1-70,Cortland,1936,Centered near Bromley in Preble (13141) in Cortland County New York.,http://stor.artstor.org/stor/65a2a6d0-42c1-4c4b-b201-0259abd415fc.jpg,http://stor.artstor.org/stor/65a2a6d0-42c1-4c4b-b201-0259abd415fc_size2
-76.18543,42.754163,approximate,AJ-1-68,Cortland,1936,Centered near Bromley in Preble (13141) in Cortland County New York.,http://stor.artstor.org/stor/a27cf9c6-a57f-4d19-9f88-6eb3e1d7ca3b.jpg,http://stor.artstor.org/stor/a27cf9c6-a57f-4d19-9f88-6eb3e1d7ca3b_size2
-76.40637,42.379598,approximate,AJ-16-6,Tompkins,1936,Centered in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/fea44b01-c506-4a94-8895-18c8ff35154d.jpg,http://stor.artstor.org/stor/fea44b01-c506-4a94-8895-18c8ff35154d_size2
-76.143019,42.625675,approximate,AJ-1-98,Cortland,1936,Centered near Loring Crossing in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/be688acb-abbb-4888-861c-8331352458e0.jpg,http://stor.artstor.org/stor/be688acb-abbb-4888-861c-8331352458e0_size2
-76.309634,42.407089,approximate,AJ-18-9,Tompkins,1936,Centered near Caroline in Brooktondale (14817) in Tompkins County New York.,http://stor.artstor.org/stor/d5049107-f9be-435c-b3ae-eaa9ccd38d9e.jpg,http://stor.artstor.org/stor/d5049107-f9be-435c-b3ae-eaa9ccd38d9e_size2
